system,system_name,school,school_name,pool,Indicator,All Students,BHN,ED,EL,Super Subgroup,SWD,Indicator Score (60-40)
10,Anderson County,50,Lake City Elementary,K8,Growth,2,NA,3,NA,2,2,2.2
10,Anderson County,50,Lake City Elementary,K8,Chronic Absenteeism,4,NA,4,NA,NA,1,3.4
10,Anderson County,50,Lake City Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,50,Lake City Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,50,Lake City Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,50,Lake City Elementary,K8,Weighted Subgroup Score,2.7,NA,3.1,NA,2.6,1.9, 
10,Anderson County,55,Lake City Middle School,K8,Achievement,2,NA,2,NA,2,1,1.8
10,Anderson County,55,Lake City Middle School,K8,Growth,4,NA,4,NA,4,4,4
10,Anderson County,55,Lake City Middle School,K8,Chronic Absenteeism,4,NA,4,NA,NA,4,4
10,Anderson County,55,Lake City Middle School,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,55,Lake City Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,55,Lake City Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,55,Lake City Middle School,K8,Weighted Subgroup Score,3,NA,3,NA,2.9,2.5, 
10,Anderson County,70,Norris Elementary,K8,Achievement,4,NA,NA,NA,NA,NA,4
10,Anderson County,70,Norris Elementary,K8,Growth,2,NA,2,NA,1,NA,2
10,Anderson County,70,Norris Elementary,K8,Chronic Absenteeism,4,NA,4,NA,NA,NA,4
10,Anderson County,70,Norris Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,70,Norris Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,70,Norris Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,70,Norris Elementary,K8,Weighted Subgroup Score,3.2,NA,2.4,NA,1,NA, 
10,Anderson County,75,Norris Middle School,K8,Achievement,3,NA,3,NA,2,1,2.6
10,Anderson County,75,Norris Middle School,K8,Growth,4,3,4,NA,4,4,3.9
10,Anderson County,75,Norris Middle School,K8,Chronic Absenteeism,3,NA,4,NA,NA,4,3.4
10,Anderson County,75,Norris Middle School,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,75,Norris Middle School,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,75,Norris Middle School,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,75,Norris Middle School,K8,Weighted Subgroup Score,3.4,3,3.5,NA,2.9,2.5, 
10,Anderson County,80,Norwood Elementary,K8,Achievement,2,NA,2,NA,2,NA,2
10,Anderson County,80,Norwood Elementary,K8,Growth,3,NA,3,NA,3,2,2.8
10,Anderson County,80,Norwood Elementary,K8,Chronic Absenteeism,4,NA,4,NA,NA,2,3.6
10,Anderson County,80,Norwood Elementary,K8,ELPA,NA,NA,NA,NA,NA,NA, 
10,Anderson County,80,Norwood Elementary,K8,Graduation Rate,NA,NA,NA,NA,NA,NA, 
10,Anderson County,80,Norwood Elementary,K8,Ready Graduate,NA,NA,NA,NA,NA,NA, 
