system,system_name,school,school_name,pool,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,final_score,final_grade
50,Blount County,90,Mary Blount Elementary,K8,3.2,3.7,2.5999999999999996,NA,NA,4,3.4,A
50,Blount County,93,Middlesettlements,K8,2.5999999999999996,3.6,4,NA,NA,NA,3.1,A
50,Blount County,94,Montvale Elementary,K8,2,3,3.4,NA,NA,NA,2.5,B
50,Blount County,95,Porter Elementary,K8,3,3,2.5999999999999996,NA,NA,NA,3,B
50,Blount County,110,Rockford Elementary,K8,2.5999999999999996,3.5,2.6,NA,NA,4,3.1,A
50,Blount County,123,Samuel Everett School of Innovation,K8,NA,0,NA,NA,NA,NA,0,D
50,Blount County,125,Townsend Elementary,K8,2,2.5999999999999996,3.4,NA,NA,NA,2.4,B
50,Blount County,138,Union Grove Elementary School,K8,3,2.8,3.6,NA,NA,NA,3,B
50,Blount County,145,Walland Elementary School,K8,2,2,2.7333333333333334,NA,NA,NA,2.1,B
50,Blount County,155,William Blount High School,HS,3,0.8666666666666667,4,3.6,2.4,NA,2.4,B
50,Blount County,160,Prospect Elementary School,K8,4,3.466666666666667,4,NA,NA,NA,3.8,A
51,Alcoa,6,Alcoa Middle School,K8,2.1999999999999997,2.8,4,NA,NA,NA,2.6,B
51,Alcoa,10,Alcoa High School,HS,3.6,2.5999999999999996,3.6,4,3.4,NA,3.3,A
51,Alcoa,12,Alcoa Intermediate School,K8,3.5,3.9,3.9,NA,NA,4,3.7,A
52,Maryville,10,John Sevier Elementary,K8,4,2.6999999999999997,3.7,NA,NA,4,3.5,A
52,Maryville,15,Maryville High School,HS,3.3333333333333335,3.466666666666667,4,3.7333333333333334,3.466666666666667,NA,3.5,A
52,Maryville,18,Montgomery Ridge Intermediate School,K8,3.7,2.6999999999999997,3.6,NA,NA,NA,3.3,A
52,Maryville,20,Maryville Junior High School,K8,3.466666666666667,3.3,3.466666666666667,NA,NA,NA,3.4,A
52,Maryville,25,Sam Houston Elementary,K8,4,4,3.6,NA,NA,NA,4,A
52,Maryville,30,Foothills Elementary,K8,4,3.3333333333333335,2.8,NA,NA,4,3.6,A
52,Maryville,35,Coulter Grove Intermediate School,K8,3.8666666666666667,3.7,3.466666666666667,NA,NA,NA,3.8,A
