system,school,pool,designation_ineligible,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,targeted_support_Native,targeted_support_Asian,targeted_support_Black,targeted_support_BHN,targeted_support_ED,targeted_support_EL,targeted_support_Hispanic,targeted_support_HPI,targeted_support_SWD,targeted_support_White,targeted_support_subgroups,targeted_support,final_average
190,235,K8,0,2.2666666666666666,4,2.6,,,4,,,0,0,0,0,0,,,,0,0,3.1
190,240,K8,0,0.8666666666666667,3.8,4,,,1.7,,,,0,0,0,0,,,,0,0,2.3
190,245,HS,0,0.9,0.30000000000000004,3,2,2.6999999999999997,0.7,,,0,0,0,1,0,,0,0,1,1,1.4
190,250,K8,0,4,3.2,4,,,,,,,,,,,,,0,0,0,3.7
190,255,K8,0,2.2666666666666666,2.6999999999999997,3.8,,,2.9,,,,0,0,0,0,,,0,0,0,2.6
190,265,K8,0,2.1333333333333333,2.9,2.1,,,3.9,,,0,0,0,0,0,,,0,0,0,2.6
190,270,K8,0,2.6,2.1,3.9,,,3.1333333333333333,,,0,0,0,,,,,0,0,0,2.6
190,275,K8,0,1.1,0.2,2.9,,,4,,,1,0,0,0,0,,0,1,2,1,1.3
190,280,K8,0,2.5,4,2.6,,,2.8,,,0,0,0,0,,,0,0,0,0,3.1
190,285,K8,0,1.3,2.2,4,,,0.8666666666666667,,,,,,,,,,,0,0,1.8
190,290,K8,0,3.6,3.8,3.3,,,3,,,0,0,0,0,0,,,0,0,0,3.6
190,295,K8,0,1.1,3.7,4,,,2,,0,0,0,0,0,0,,0,0,0,0,2.4
190,296,K8,0,1,0.13333333333333333,0.7333333333333333,,,,,,1,1,1,,,,1,0,4,1,0.6
190,300,K8,0,3.8,3.1333333333333333,3.3,,,4,,,0,0,0,,,,,0,0,0,3.5
190,305,K8,0,0.8666666666666667,2.4000000000000004,2,,,,,,,,,,,,,,0,0,1.6
190,310,K8,0,1,2,3.2,,,2.9,,1,,0,0,0,0,,,,1,1,1.8
190,315,K8,0,3.5,1.9,3.6,,,,,0,0,0,0,,0,,0,0,0,0,2.9
190,318,K8,0,2,3,2.8,,,2.9,,,0,0,0,0,0,,,0,0,0,2.5
190,320,K8,0,1.4,2.6999999999999997,2.4000000000000004,,,3,,,0,0,0,,,,,0,0,0,2.1
190,327,K8,0,0.8666666666666667,0.8,4,,,4,,,0,0,0,0,,,,0,0,0,1.5
190,330,K8,0,4,2.4,3.7333333333333334,,,,,0,0,0,0,,0,,,0,0,0,3.3
190,335,HS,0,1.8666666666666667,0.2,3.6,4,3.3333333333333335,1,,,0,0,0,,,,0,0,0,0,1.9
190,340,HS,0,1.1,0.4,3.4,3.466666666666667,3.7333333333333334,0.8666666666666667,,,0,0,0,,0,,0,0,0,0,1.8
190,350,K8,0,0.8,0.4,0.8,,,,,,1,1,0,,,,,,2,1,0.6
190,355,HS,0,4,3.8,4,4,4,,,,0,0,,,,,,0,0,0,3.9
190,358,HS,0,1,0.4,3.0999999999999996,3.1,2.6999999999999997,0,,,0,0,0,0,0,,0,0,0,0,1.4
190,360,K8,0,1.8,0,2,,,,,,1,1,0,,,,,,2,1,1.1
190,365,K8,0,1.6,1.6,3.2,,,0,,,0,0,0,,0,,0,0,0,0,1.6
190,370,K8,0,2.8,3,3.9,,,3,,,0,0,0,0,0,,0,0,0,0,3
190,375,K8,0,1.2000000000000002,0.30000000000000004,3.8,,,1.1333333333333333,,,,,,,,,,,0,0,1.1
190,380,K8,0,3,0.4,3.1333333333333333,,,,,,,,,,,,,0,0,0,2
190,385,K8,0,1,1,2.2666666666666666,,,,,,,,,,,,,,0,0,1.1
190,386,K8,0,1.1333333333333333,1.1333333333333333,4,,,,,,0,0,0,,,,0,,0,0,1.4
190,387,K8,0,0,0,4,,,,,,1,1,1,,,,,,3,1,0.4
190,390,K8,0,1.8666666666666667,3.9,3,,,3.9,,,,0,0,0,0,,,,0,0,2.9
190,393,K8,0,1.1,0.2,3.8,,,0,,,0,0,0,0,0,,0,1,1,1,0.9
190,395,HS,0,1.6,0.1,3.9,1.9,2.5999999999999996,0.8,,0,0,0,0,1,1,,0,0,2,1,1.6
190,415,K8,0,4,0.4,3.4,,,,,,,,,,,,,0,0,0,2.5
190,420,K8,0,2.2,2.1333333333333333,4,,,,,,,,,,,,,,0,0,2.4
190,430,K8,0,3,3.8,2.8,,,4,,,0,0,0,0,0,,,0,0,0,3.4
190,435,K8,0,4,4,4,,,,,,,,,,,,,0,0,0,4
190,437,HS,0,4,2.8,4,4,4,,,,,,,,,,,,0,0,3.6
190,443,K8,1,1,2,2.1333333333333333,,,,,,,,,,,,,,0,0,1.5
190,445,HS,0,1,0.1,1.4,2,2,0,,,,,,,,,,,0,0,1
190,450,K8,0,0.8,2,2.3,,,2.9,,,0,0,0,0,0,,1,0,1,1,1.6
190,456,HS,0,4,3.7333333333333334,4,4,4,,,,0,0,0,,,,,0,0,0,3.9
190,465,K8,0,1.7333333333333334,2,4,,,4,,,,0,0,0,0,,,,0,0,2.3
190,470,HS,0,1,0.30000000000000004,4,2.6999999999999997,3.4,0.1,,,0,0,0,0,0,,0,0,0,0,1.6
190,480,K8,0,1.2000000000000002,4,4,,,2,,,,,,,,,,,0,0,2.5
190,490,K8,0,3.2,0.6000000000000001,2.1333333333333333,,,4,,,0,0,0,,0,,0,0,0,0,2.3
190,493,K8,0,2.3,2,3.3,,,2.8,,,0,0,0,0,0,,0,0,0,0,2.3
190,505,K8,1,1.2666666666666666,2,4,,,,,,,,,,,,,,0,0,1.8
190,510,K8,0,3,4,4,,,,,,0,0,0,,,,,,0,0,3.5
190,512,HS,0,3.2,2.8666666666666663,2.533333333333333,3,3.6,,,,0,0,,,,,,0,0,0,3.1
190,515,K8,0,1.5333333333333334,3.0999999999999996,3.0999999999999996,,,2.7333333333333334,,,0,0,0,0,0,,,,0,0,2.4
190,525,K8,0,3,3.8,2.1,,,3.7,,,,0,0,0,0,,,0,0,0,3.3
190,535,K8,0,1.8,3.0999999999999996,4,,,3.1333333333333333,,,0,0,0,,,,,,0,0,2.6
190,538,K8,0,1.8,0.7000000000000001,4,,,2.1,,0,0,0,0,0,1,,0,0,1,1,1.7
190,540,K8,0,1.2666666666666666,3.9,4,,,3,,,0,0,0,0,0,,,0,0,0,2.6
190,545,K8,0,2.2,3.8666666666666667,3.2666666666666666,,,,,,0,0,0,,,,,,0,0,3
190,555,HS,0,1,0.5333333333333333,2.4000000000000004,2.2666666666666666,2,,,,0,0,0,,,,0,,0,0,1.3
190,565,K8,0,3.4,3.466666666666667,2.4000000000000004,,,1,,,,0,0,,,,,0,0,0,3.1
190,570,K8,0,4,3,4,,,,,,,,,,,,,0,0,0,3.6
190,595,K8,0,2.5999999999999996,0.6000000000000001,3.8,,,,,,0,0,0,,0,,,0,0,0,1.9
190,600,K8,0,1.6,2.2666666666666666,4,,,,,,,,,,,,,,0,0,2.1
190,607,K8,0,3,3.9,2.5,,,3,,,0,0,0,,,,,0,0,0,3.3
190,608,K8,0,3.5,2.2,3.8,,,3.8,,,0,0,0,0,,,0,0,0,0,3.1
190,610,K8,0,3,4,4,,,3.1333333333333333,,,0,0,0,0,0,,,,0,0,3.5
190,612,HS,1,,,1,0.2,1.8,,,,,,,,,,,,0,0,1.3
190,614,HS,0,,3.6,0.4,1.6,2.4,,,,,,,,,,,,0,0,2.6
190,615,K8,0,3,4,4,,,2.8,,,0,0,,,,,,0,0,0,3.4
190,618,K8,0,3,4,2.2666666666666666,,,,,,,,,,,,,,0,0,3.3
190,620,HS,0,1.1,0.8,3.7,4,2,1,,,0,0,0,,,,0,0,0,0,1.6
190,622,K8,0,1.2000000000000002,3.2,4,,,0.8666666666666667,,,,,,,,,,,0,0,2.1
190,625,K8,0,0.13333333333333333,3.7,0.5,,,2.9,,,0,0,0,0,0,,,,0,0,1.7
190,630,K8,0,3.3333333333333335,3.8666666666666667,3.6,,,,,,0,0,0,,,,0,0,0,0,3.6
190,633,K8,0,1,2.2,3.9,,,1.8,,0,0,0,0,0,0,,0,0,0,0,1.8
190,635,K8,0,1,3.8,4,,,1.8666666666666667,,,,,,,,,,,0,0,2.4
190,637,K8,0,2.1333333333333333,2.9,4,,,4,,,0,0,0,0,0,,,0,0,0,2.8
190,645,K8,0,2.2666666666666666,3.9,4,,,3.8,,,0,0,0,0,0,,,0,0,0,3.2
190,650,K8,0,1.1,0.8,2.2,,,1.8,,,0,0,0,0,0,,0,0,0,0,1.2
190,655,K8,0,1.4,2.2,2.4000000000000004,,,3.8,,,0,0,0,0,0,,,0,0,0,2
190,670,K8,0,2.2,1.8,4,,,0.8666666666666667,,,0,0,0,,,,,,0,0,2.1
190,675,K8,0,2,4,4,,,3.8666666666666667,,,,,,,,,,,0,0,3.1
190,690,K8,0,2.466666666666667,0.6000000000000001,1.7333333333333334,,,,,,0,0,0,,,,0,0,0,0,1.6
190,695,K8,0,3,3.7,4,,,2.8666666666666663,,,0,0,0,,,,,0,0,0,3.3
190,700,K8,0,1,1,3.466666666666667,,,,,,0,0,0,,,,0,0,0,0,1.2
190,704,HS,0,0.13333333333333333,0,2.533333333333333,3.7333333333333334,3.7333333333333334,,,,,,,,,,,,0,0,1.2
190,715,K8,0,1,1.6,4,,,0,,,,,,,,,,,0,0,1.4
190,720,HS,1,,,2,1.1333333333333333,1.4,0,,,,,,,,,,,0,0,1.2
190,745,HS,0,0.8,0.26666666666666666,1.4,1.2000000000000002,,,,,,,,,,,,,0,0,0.7
190,750,K8,0,2.7333333333333334,3.8,4,,,2.9,,,0,0,0,0,0,,,0,0,0,3.3
190,755,K8,0,3.2,1.7333333333333334,3.7333333333333334,,,,,,0,0,0,,,,,0,0,0,2.7
190,8001,K8,0,2,3.4,2.4000000000000004,,,3,,,0,0,0,,0,,,,0,0,2.6
190,8002,K8,0,2.9,4,4,,,1,,,0,0,0,0,0,,0,,0,0,3.2
190,8003,HS,0,1.3,1.9,1.5,4,4,0.9,,,0,0,,,,,,,0,0,2.1
190,8005,K8,0,2.8,4,1.1,,,2.8,,,0,0,0,0,0,,0,0,0,0,3.1
190,8006,K8,0,1.9,3.7,4,,,2.6999999999999997,,,0,0,0,0,0,,0,0,0,0,2.8
190,8008,K8,0,2.2,3.9,1.6,,,0.8,,,0,0,0,0,0,,0,0,0,0,2.6
190,8009,K8,0,2.9,1,3.8,,,3,,,0,0,0,0,0,,0,0,0,0,2.3
190,8010,K8,0,2,4,2.4000000000000004,,,2.6999999999999997,,,0,0,0,0,0,,0,0,0,0,2.8
190,8011,HS,0,2,0.5,4,,,4,,,,,,,,,,,0,0,2
190,8012,K8,0,1.7,2.5999999999999996,3,,,1.1,,,0,0,0,1,0,,0,0,1,1,2.1
190,8013,K8,0,1.8,4,3.8,,,1.9,,,0,0,0,0,0,,0,0,0,0,2.8
190,8042,K8,0,3,3.8,4,,,1,,,0,0,0,,0,,0,,0,0,3.2
190,8044,K8,0,4,2,3.7333333333333334,,,,,,0,0,0,,,,,,0,0,3.2
190,8045,K8,0,3.8,4,4,,,3.9,,,0,0,0,0,0,,0,0,0,0,3.9
190,8046,K8,0,4,1.4,3.6,,,,,,0,0,0,,,,,,0,0,2.9
190,8048,K8,0,1.7333333333333334,0.30000000000000004,4,,,3.7,,,0,0,0,0,0,,,0,0,0,1.7
190,8050,K8,0,4,4,1.5,,,2.7333333333333334,,,,,,,,,,,0,0,3.6
190,8055,K8,0,2.9,3.9,0.4,,,2,,,0,0,0,,0,,0,0,0,0,2.9
190,8060,K8,1,,,1.5333333333333334,,,,,,,,,,,,,,0,0,1.5
190,8065,K8,0,1.1333333333333333,0.30000000000000004,0.4,,,1.1,,,0,1,0,1,1,,,0,3,1,0.8
190,8070,K8,0,2.7333333333333334,2.1,1.3,,,2.8,,,0,0,0,0,0,,,,0,0,2.4
190,8075,K8,0,1.1333333333333333,2.6999999999999997,3.2666666666666666,,,1,,,0,0,0,0,0,,,0,0,0,1.9
190,8080,K8,0,3.9,4,3.8,,,3,,,0,0,0,0,0,,0,0,0,0,3.8
190,8090,K8,0,0.26666666666666666,0.30000000000000004,2,,,1.1333333333333333,,,1,1,0,,1,,,1,4,1,0.5
190,8095,K8,0,3,3.8666666666666667,2.1333333333333333,,,,,,0,0,0,,,,,,0,0,3.3
190,8100,K8,0,0.4,0.2,0,,,2,,,1,1,1,1,1,,1,0,6,1,0.5
190,8105,K8,0,2.2666666666666666,2,3.1333333333333333,,,0.26666666666666666,,,0,0,0,0,0,,,0,0,0,2.1
200,3,HS,0,2.8,2.5999999999999996,3.1333333333333333,2,3.4,,,,,,0,,,,,0,0,0,2.9
200,5,K8,0,4,2,4,,,,,,,,0,,,,,0,0,0,3.2
200,10,K8,0,3,2.5999999999999996,2.533333333333333,,,,,,,,0,,,,,0,0,0,2.8
200,20,K8,0,2.5999999999999996,1.4,2.1333333333333333,,,,,,,0,0,,,,0,0,0,0,2.1
210,25,HS,0,1.7333333333333334,0,3.6,3,2.5999999999999996,0,,,,,0,,,,,0,0,0,1.6
210,37,K8,0,1.8,2.8,4,,,1,,,,0,0,,0,,0,0,0,0,2.3
210,40,K8,0,0.9,0.4,2.1,,,3.7333333333333334,,,,0,0,1,1,,0,1,3,1,1.1
210,50,K8,0,2.6,1.4,1.6,,,,,,,,0,,,,,0,0,0,2
220,5,K8,0,3.4,2.5999999999999996,3.8666666666666667,,,4,,,,0,0,,,,,0,0,0,3.2
220,7,K8,0,2.8,3.466666666666667,4,,,,,,,,0,,,,0,0,0,0,3.2
220,8,K8,0,4,3.7333333333333334,3.8666666666666667,,,,,,0,0,0,,,,0,0,0,0,3.9
220,15,K8,0,2.8666666666666663,3.6,2.4000000000000004,,,,,,,0,0,,,,0,0,0,0,3.1
220,17,HS,0,2.8666666666666663,2.7333333333333334,4,3.8,2.5999999999999996,,,,,,0,,,,0,0,0,0,2.9
220,20,K8,0,2.2,2.3,3.7,,,3,,,,0,0,,,,,0,0,0,2.5
220,23,K8,0,2.5999999999999996,3.4,4,,,,,,0,0,0,,0,,0,0,0,0,3.1
220,25,HS,0,1.8666666666666667,1,4,2.5999999999999996,2.8666666666666663,4,,,0,0,0,,,,0,0,0,0,2.3
220,28,K8,0,4,3.4,4,,,,,,,0,,,,,,0,0,0,3.8
220,30,K8,0,2.333333333333333,0.6000000000000001,2.1333333333333333,,,3,,,0,0,0,,,,0,0,0,0,1.8
220,37,K8,0,2.7333333333333334,0.1,3.1333333333333333,,,,,,0,0,0,,,,0,0,0,0,1.7
220,40,K8,0,2.1999999999999997,2,2,,,,,,,,0,,,,,0,0,0,2.1
220,44,K8,0,2.4,2,3.8666666666666667,,,,,,,,0,,,,0,0,0,0,2.4
220,50,K8,0,3.6,2,4,,,,,,,,0,,,,,0,0,0,3
230,15,K8,0,2.7333333333333334,0.5333333333333333,3.466666666666667,,,,,,0,0,0,,,,0,0,0,0,1.9
230,18,HS,0,3.6,3.466666666666667,3.7333333333333334,3,3.8,,,,,0,0,,,,,0,0,0,3.6
230,20,K8,0,4,0.4,1.6,,,,,,,,0,,,,,0,0,0,2.3
230,25,K8,0,3.6,1.2000000000000002,4,,,,,,,,0,,,,,0,0,0,2.7
230,30,K8,0,4,3.6,4,,,,,,,,0,,,,,0,0,0,3.8
230,35,K8,0,2.5999999999999996,2,2.2666666666666666,,,,,,0,0,0,,,,0,0,0,0,2.3
230,43,K8,0,2.933333333333333,0.6666666666666667,3.4,,,,,,0,0,0,,,,0,0,0,0,2.1
230,45,K8,0,3,3.4,2.8,,,,,,,,,,,,,0,0,0,3.1
231,12,K8,0,2.466666666666667,2.6999999999999997,4,,,,,,0,0,0,,0,,0,0,0,0,2.7
231,15,HS,0,2.5999999999999996,1.7333333333333334,4,1.8666666666666667,3.0666666666666664,4,,,0,0,0,,,,0,0,0,0,2.7
231,21,K8,0,3.2,2.8,4,,,,,,0,0,0,,0,,0,0,0,0,3.1
240,18,K8,0,0.8666666666666667,2.8666666666666663,4,,,,,,0,0,0,,,,0,0,0,0,2
240,26,HS,0,2.5999999999999996,3.8666666666666667,1.8666666666666667,3.6,3,,,,0,0,0,,,,,0,0,0,3
240,46,K8,0,2.5999999999999996,3.7333333333333334,2.6,,,,,,0,0,0,,,,,,0,0,3.1
240,60,K8,0,4,3.9,1.9,,,3,,,0,0,0,,,,0,0,0,0,3.7
240,70,K8,0,3.2,2.5999999999999996,2.533333333333333,,,,,,0,0,0,,,,,0,0,0,2.9
240,90,K8,0,1.2666666666666666,0.13333333333333333,1.1333333333333333,,,,,,1,1,0,,0,,0,1,3,1,0.8
240,95,K8,0,,1.8666666666666667,0.8666666666666667,,,,,,,,,,,,,,0,0,1.7
250,5,K8,0,3.2,1.4,4,,,,,,,,0,,,,,0,0,0,2.6
250,25,HS,0,3,2.5999999999999996,3,4,3.6,,,,,,0,,,,,0,0,0,3.1
250,33,K8,0,2.4000000000000004,2.8,3.4,,,,,,,,0,,,,,0,0,0,2.7
250,40,K8,0,2,2,4,,,,,,,,0,,,,,0,0,0,2.2
250,60,K8,0,2,3,4,,,,,,,,0,,,,,0,0,0,2.6
260,15,K8,0,4,2.5999999999999996,3.8,,,,,,,,,,,,,0,0,0,3.4
260,30,K8,0,2.7333333333333334,1.8,4,,,1.8,,,0,0,0,,,,0,0,0,0,2.4
260,35,K8,0,2.5999999999999996,3.2,2,,,,,,,,0,,,,,0,0,0,2.8
260,40,K8,0,1.4,1.4,4,,,,,,,,0,,,,,0,0,0,1.7
260,50,HS,0,1,3.3333333333333335,4,2.7333333333333334,2.333333333333333,,,,0,0,0,,,,0,0,0,0,2.4
260,65,HS,0,1.6,2.8,4,4,3,2,,,,,,,,,,0,0,0,2.6
260,80,K8,0,1.2666666666666666,1.4,4,,,,,,0,0,0,,,,0,0,0,0,1.6
260,82,K8,0,3,2.8,3.2,,,,,,,,,,,,,0,0,0,2.9
260,87,K8,0,2,0.6000000000000001,4,,,,,,,,0,,,,,0,0,0,1.6
260,90,K8,0,4,2,4,,,,,,,,,,,,,0,0,0,3.2
260,115,K8,0,2,0.26666666666666666,4,,,,,,0,0,0,,,,0,0,0,0,1.5
271,20,HS,0,1.8,0.13333333333333333,2,2.4000000000000004,3,,,,0,0,1,,,,,,1,1,1.6
271,27,K8,0,0.13333333333333333,0.26666666666666666,2.2666666666666666,,,,,,1,1,1,,,,0,0,3,1,0.4
272,10,HS,0,2.5999999999999996,1.8666666666666667,4,3.466666666666667,3.466666666666667,,,,0,0,0,,,,0,0,0,0,2.7
272,15,K8,0,3.3333333333333335,1.5333333333333334,4,,,,,,0,0,0,,,,0,0,0,0,2.7
272,25,K8,0,2.7333333333333334,1.8666666666666667,4,,,,,,0,0,0,,,,0,0,0,0,2.5
273,5,HS,0,1.6,0.5333333333333333,4,3,3.6,,,,,,0,,,,,0,0,0,2
273,10,K8,0,1.6,0.30000000000000004,1.7333333333333334,,,,,,0,0,1,,,,1,0,2,1,1.1
273,15,K8,0,2,2.6,2.8666666666666663,,,2,,,0,0,0,,,,,0,0,0,2.3
274,5,HS,0,3,0.6000000000000001,3.6,4,4,,,,,,,,,,,0,0,0,2.6
274,10,K8,0,3.4,2,4,,,,,,,,0,,,,,0,0,0,2.9
275,15,K8,0,1.7333333333333334,2.1333333333333333,4,,,,,,0,0,0,,,,0,0,0,0,2.1
275,33,HS,0,3,3.2,3.4,1.6,3.2,,,,,,0,,,,,0,0,0,3.1
275,37,HS,0,3.8666666666666667,3.2,4,4,4,,,,,,,,,,,0,0,0,3.7
275,40,K8,1,,,3.6,,,,,,,,,,,,,,0,0,3.6
275,45,K8,0,3.466666666666667,3.466666666666667,3.7333333333333334,,,,,,0,0,0,,,,0,0,0,0,3.5
275,55,K8,0,3.4,2.5999999999999996,3.8666666666666667,,,,,,0,0,0,,,,,0,0,0,3.1
275,65,K8,0,4,2,4,,,,,,,,,,,,,0,0,0,3.2
275,85,K8,0,3,2,4,,,,,,,,,,,,,0,0,0,2.7
280,7,K8,0,1.8666666666666667,3.6,1.4,,,,,,0,0,0,,,,0,0,0,0,2.5
280,35,K8,0,1,0.5333333333333333,3.7333333333333334,,,,,,0,1,0,,,,,0,1,1,1.1
280,45,HS,0,2.466666666666667,2.5999999999999996,2.1333333333333333,4,3.4,,,,0,0,0,,,,,0,0,0,2.7
280,65,K8,0,2.5999999999999996,3.6,2.2,,,,,,,,0,,,,,0,0,0,3
280,81,K8,0,2.1999999999999997,0.26666666666666666,3,,,,,,,,1,,,,,0,1,1,1.5
280,84,HS,0,3,3.3333333333333335,3.1333333333333333,2,4,,,,,,0,,,,,0,0,0,3.3
280,87,K8,0,2,3,1.2666666666666666,,,,,,0,0,0,,,,0,0,0,0,2.3
290,5,K8,0,2.2,3.6,1.2000000000000002,,,,,,,,0,,,,0,0,0,0,2.7
290,8,HS,0,1,0.26666666666666666,1.4,4,2.5999999999999996,,,,,,0,,,,,0,0,0,1.3
290,10,K8,0,2.5999999999999996,1.4,1.8000000000000003,,,,,,,,0,,,,0,0,0,0,2
290,18,K8,0,2.466666666666667,1.3,1.4,,,2.8666666666666663,,,,0,0,,0,,0,0,0,0,2
290,23,K8,0,2,3.4,1.8000000000000003,,,,,,,0,0,,0,,0,0,0,0,2.5
290,30,HS,0,2.5999999999999996,3.8,3,4,2,,,,,,,,,,,0,0,0,3
300,5,K8,0,3.8,2.8,3,,,,,,,,0,,,,0,0,0,0,3.3
300,10,K8,0,2,2.2,1.8,,,,,,,,0,,,,0,0,0,0,2.1
300,20,K8,0,2.5999999999999996,2.5999999999999996,3.7333333333333334,,,,,,,,0,,,,,0,0,0,2.7
300,25,K8,0,3.7333333333333334,4,4,,,,,,,0,0,,0,,0,0,0,0,3.9
300,28,HS,0,2,0.4,2.7333333333333334,3,2.4000000000000004,,,,,,0,,,,,0,0,0,1.7
300,30,K8,0,3,3.6,1.4,,,,,,,,0,,,,,0,0,0,3.1
300,35,K8,0,2.4,3.5,3.7333333333333334,,,2,,,,,0,,,,0,0,0,0,2.9
300,40,K8,0,4,3.6,4,,,,,,,,0,,,,,0,0,0,3.8
300,55,K8,0,1.6,2.2,2,,,,,,,,0,,,,0,0,0,0,1.9
300,60,K8,0,1,1.7333333333333334,2.4000000000000004,,,,,,,1,0,,,,0,0,1,1,1.4
300,67,K8,0,3,1.4,3.4,,,,,,,,0,,,,,0,0,0,2.4
300,70,HS,0,2,3.6,4,3.2,1.7999999999999998,,,,,,0,,,,,0,0,0,2.7
300,75,K8,0,2.5999999999999996,2.5999999999999996,4,,,,,,,,0,,,,,0,0,0,2.7
300,80,HS,0,2.8,3.4,3.8,3.6,3.4,,,,,,0,,,,,0,0,0,3.2
300,95,HS,0,1.2000000000000002,1.4,3,4,3.4,,,,,,0,,,,,0,0,0,2
300,100,K8,0,1.4,2,2,,,,,,,,0,,,,,0,0,0,1.7
301,8,K8,0,1.9999999999999998,0.4,3.7333333333333334,,,,,,,1,0,,,,,0,1,1,1.5
301,15,K8,0,3.6,2,4,,,,,,,,0,,,,,0,0,0,3
301,20,HS,0,3.0666666666666664,3.3333333333333335,3.466666666666667,3.7333333333333334,3.8666666666666667,,,,,0,0,,,,0,0,0,0,3.4
301,25,K8,0,2.333333333333333,0.1,4,,,,,,0,0,0,,,,0,0,0,0,1.6
301,30,K8,0,2,3.7333333333333334,4,,,,,,,0,0,,,,,0,0,0,2.9
301,35,K8,0,2.4,2,3.8666666666666667,,,,,,,0,0,,,,,0,0,0,2.4
310,15,K8,0,0,0.6000000000000001,2.5999999999999996,,,,,,,,,,,,,0,0,0,0.5
310,25,HS,0,1.7999999999999998,2,2.1999999999999997,2.5999999999999996,3.2,,,,,,,,,,0,0,0,0,2.2
310,35,K8,0,3,2.8,3.4,,,,,,,,,,,,,0,0,0,3
310,40,K8,0,1.4,1.8000000000000003,4,,,,,,,,0,,,,,0,0,0,1.8
310,45,K8,0,2,0.8,4,,,,,,,,,,,,,0,0,0,1.7
310,60,K8,0,4,4,4,,,,,,,,,,,,,0,0,0,4
310,65,K8,0,3,2,4,,,,,,,,,,,,,0,0,0,2.7
320,5,K8,0,3.7333333333333334,2.5,2.9,,,1.8,,,,0,0,,,,0,0,0,0,3
320,7,K8,0,2.5999999999999996,1.3,2.5999999999999996,,,,,,,0,0,,0,,0,0,0,0,2.1
320,10,K8,0,2.9,2.9,3.3,,,3.7,,,,0,0,0,0,,0,0,0,0,3
320,12,K8,0,2.2,3.8,3.9,,,2.9,,,,0,0,0,0,,0,0,0,0,3
320,14,K8,0,3.466666666666667,2.533333333333333,4,,,3,,,,0,0,0,0,,,0,0,0,3.1
320,15,K8,0,2.9,3.8,3.2,,,3.9,,,,0,0,0,0,,0,0,0,0,3.3
320,18,K8,0,2.9,4,3.2,,,3,,,,0,0,0,0,,0,0,0,0,3.3
320,20,K8,0,3.3333333333333335,2.5999999999999996,3.7333333333333334,,,,,,,0,0,,,,0,0,0,0,3.1
320,27,K8,0,1.1,3.9,2.4000000000000004,,,0.9,,,0,0,0,0,0,,0,0,0,0,2.2
320,30,K8,0,2.5999999999999996,1.2666666666666666,2.7333333333333334,,,,,,,,0,,,,,0,0,0,2.1
320,33,K8,0,2.4,0.8,2.8666666666666663,,,0,,,,0,0,,0,,0,0,0,0,1.6
320,35,K8,0,3.6,2,4,,,,,,,,0,,,,,0,0,0,3
320,37,K8,0,1.2000000000000002,1.4,3.0999999999999996,,,1,,,0,0,0,0,0,,0,1,1,1,1.4
320,40,K8,0,3.6,2.2,2.5999999999999996,,,,,,,,0,,,,,0,0,0,2.9
320,42,HS,0,1.8,3.5,3.0999999999999996,2.8666666666666663,3.7333333333333334,0.9,,,,0,0,,0,,0,0,0,0,2.7
320,45,HS,0,2.5,3.4,3.0999999999999996,3.8666666666666667,3.7333333333333334,0,,,0,0,0,,0,,0,0,0,0,2.9
320,48,K8,0,3.7,3.8,3.2,,,4,,,0,0,0,0,0,,0,0,0,0,3.7
330,5,K8,0,4,3.466666666666667,3.6,,,,,,,,0,,,,0,0,0,0,3.7
330,10,K8,0,2.8,3.8,4,,,,,,0,0,0,,,,,0,0,0,3.3
330,13,K8,0,3.8666666666666667,3.6,2.7333333333333334,,,4,,,0,0,0,,,,0,0,0,0,3.7
330,16,K8,0,1.8,0,4,,,,,,0,0,0,,,,,0,0,0,1.3
330,17,K8,0,2.2,3.8,3.8,,,3.7,,,0,0,0,0,0,,0,0,0,0,3.1
330,19,K8,0,4,3.3333333333333335,3,,,,,,,,0,,,,0,0,0,0,3.6
330,21,HS,0,1.2666666666666666,1.1333333333333333,2.4000000000000004,3.7333333333333334,0.8666666666666667,,,,,,,,,,,,0,0,1.4
330,33,K8,0,2.2,2.2,2.6,,,,,,0,0,0,,,,,,0,0,2.2
330,35,K8,0,1.4,0.26666666666666666,1.5333333333333334,,,,,,1,1,1,,,,0,0,3,1,1
330,37,K8,0,3,3.7,3.8,,,4,,,,,,,,,,,0,0,3.4
330,40,HS,0,2.1999999999999997,2.1333333333333333,1.7333333333333334,3.6,2.4000000000000004,,,,0,0,0,,,,,0,0,0,2.2
330,41,K8,0,3.2,0.8,3.7333333333333334,,,,,,0,0,0,,0,,0,0,0,0,2.3
330,45,HS,0,3.6,3.7333333333333334,4,4,4,,,,,,,,,,,0,0,0,3.8
330,46,HS,0,3.2,3.8666666666666667,3.8666666666666667,4,4,,,,0,0,,,,,,0,0,0,3.7
330,47,K8,0,3.6,2.1999999999999997,4,,,,,,0,0,,,,,,0,0,0,3.1
330,48,K8,0,3,3.8,2.4000000000000004,,,2.9,,,,,,,,,,,0,0,3.2
330,50,K8,0,4,3.3333333333333335,2.8,,,,,,,,0,,,,,0,0,0,3.6
330,51,K8,0,3.2,3.4,3.6,,,,,,,,0,,,,0,0,0,0,3.3
330,55,K8,0,0.8666666666666667,2,2.4000000000000004,,,,,,,,,,,,,,0,0,1.5
