system,school,pool,designation_ineligible,score_achievement,score_growth,score_absenteeism,score_grad,score_ready_grad,score_elpa,targeted_support_Native,targeted_support_Asian,targeted_support_Black,targeted_support_BHN,targeted_support_ED,targeted_support_EL,targeted_support_Hispanic,targeted_support_HPI,targeted_support_SWD,targeted_support_White,targeted_support_subgroups,targeted_support,final_average
50,93,K8,0,2.5999999999999996,3.6,4,,,,,,,,0,,,,,0,0,0,3.1
50,94,K8,0,2,3,3.4,,,,,,,,0,,,,,0,0,0,2.5
50,95,K8,0,3,3,2.5999999999999996,,,,,,,,0,,,,,0,0,0,3
50,110,K8,0,2.466666666666667,3.5,2.6,,,4,,,,0,0,,,,0,0,0,0,3
50,123,K8,1,,0,,,,,,,,,,,,,,,0,0,0
50,125,K8,0,2,2.5999999999999996,3.4,,,,,,,,,,,,,0,0,0,2.4
50,138,K8,0,3,2.8,3.6,,,,,,,,,,,,,0,0,0,3
50,145,K8,0,2,2,2.7333333333333334,,,,,,,,0,,,,,0,0,0,2.1
50,155,HS,0,3,0.8666666666666667,4,3.6,2.4,,,,,,0,,,,0,0,0,0,2.4
50,160,K8,0,4,3.466666666666667,3.8666666666666667,,,,,,,,0,,,,,0,0,0,3.8
51,6,K8,0,2.1999999999999997,2.8,4,,,,,,0,0,0,,0,,0,0,0,0,2.6
51,10,HS,0,3.6,2.5999999999999996,3.6,4,3.4,,,,0,0,0,,,,,0,0,0,3.3
51,12,K8,0,3.5,3.9,3.9,,,4,,,0,0,0,0,0,,0,0,0,0,3.7
52,10,K8,0,3.2,2.6999999999999997,3.7,,,4,,,,,0,,,,,0,0,0,3.2
52,15,HS,0,3.3333333333333335,3.466666666666667,4,3.7333333333333334,3.466666666666667,,,,,0,0,,,,0,0,0,0,3.5
52,18,K8,0,3.7,2.6999999999999997,3.6,,,,,,0,0,0,,0,,0,0,0,0,3.3
52,20,K8,0,3.466666666666667,3.3,3.466666666666667,,,,,,,0,0,,,,0,0,0,0,3.4
52,25,K8,0,4,4,3.6,,,,,,,,,,,,,0,0,0,4
52,30,K8,0,4,3.3333333333333335,2.8,,,4,,,,,,,,,,0,0,0,3.6
52,35,K8,0,3.8666666666666667,3.7,3.466666666666667,,,,,,0,0,0,,0,,0,0,0,0,3.8
60,10,K8,0,2.5999999999999996,0.26666666666666666,3.466666666666667,,,4,,,,,0,,,,,0,0,0,2
60,18,K8,0,1.8666666666666667,0.7000000000000001,3.7333333333333334,,,,,,0,0,0,,0,,0,0,0,0,1.6
60,20,HS,0,1,2,4,3,2.8,0,,,,,0,,,,0,0,0,0,1.9
60,30,K8,0,2.5999999999999996,3.7333333333333334,2.1333333333333333,,,,,,,,0,,,,,0,0,0,3
60,40,K8,0,2.5999999999999996,1.8666666666666667,1.8666666666666667,,,,,,,,0,,,,,0,0,0,2.2
60,50,K8,0,3.6,2.7333333333333334,2.8666666666666663,,,,,,,,0,,,,,0,0,0,3.2
60,55,K8,0,3.8,2,4,,,,,,,0,0,,,,,0,0,0,3.1
60,60,K8,0,3.2,3.6,3.8666666666666667,,,,,,,,0,,,,,0,0,0,3.4
60,65,K8,0,2.8,1.3,4,,,1,,,,0,0,,,,,0,0,0,2.2
60,70,K8,0,2,0.4,2.8,,,,,,,,0,,,,,1,1,1,1.4
60,72,K8,0,1.8666666666666667,0.5,4,,,,,,0,0,0,,0,,0,0,0,0,1.5
60,75,K8,0,2.1999999999999997,2,2,,,,,,,,0,,,,,0,0,0,2.1
60,78,HS,0,2.333333333333333,2.8,4,3.6,3,,,,,,0,,,,1,0,1,1,2.8
60,100,K8,0,2,0.4,4,,,3.2,,,,0,0,,,,0,0,0,0,1.8
60,102,K8,0,2.5999999999999996,3.0666666666666664,3.8666666666666667,,,,,,,,0,,,,,0,0,0,2.9
60,105,K8,1,,0,4,,,,,,,,,,,,,,0,0,0.8
61,10,K8,0,2.8,2,3.4,,,4,,,0,0,0,,0,,,0,0,0,2.7
61,12,K8,0,1.4,3.0999999999999996,2.1,,,4,,,0,0,0,,0,,0,0,0,0,2.3
61,18,K8,0,1.8,3.8,3.4,,,2.4,,0,0,0,0,0,0,,0,0,0,0,2.7
61,20,HS,0,2.2,1.3,2.3,4,2.8,1,,,0,0,0,,0,,0,0,0,0,2.1
61,22,K8,0,2.3,1.3,3,,,4,,,0,0,0,0,0,,0,0,0,0,2.2
61,25,K8,0,2.8,2.3,4,,,4,,,,0,0,,0,,,0,0,0,2.9
61,30,K8,0,2.2,2.3,2.9,,,4,,,,0,0,,0,,,0,0,0,2.5
70,3,HS,0,2,0.5333333333333333,3.6,2.4,0,,,,,,0,,,,0,0,0,0,1.3
70,5,K8,0,1.4,0.2,4,,,,,,,,0,,,,,0,0,0,1.2
70,40,K8,0,1.6,1.6,4,,,,,,,,0,,,,,0,0,0,1.8
70,60,K8,0,2.5999999999999996,3.8,3.4,,,,,,,,0,,,,0,0,0,0,3.2
70,65,K8,0,2.5999999999999996,3.7333333333333334,2.4000000000000004,,,,,,,,0,,,,0,0,0,0,3
70,70,K8,0,2.5999999999999996,2.8,0,,,,,,,,,,,,,,0,0,2.4
70,75,HS,0,2,3.6,4,3,4,,,,,,0,,,,,0,0,0,3.1
70,77,K8,0,1,1.9,4,,,4,,,,,0,,,,0,0,0,0,1.9
70,80,K8,0,1,1.8,3.8,,,,,,,,0,,,,0,0,0,0,1.6
70,135,K8,0,2,2.8,2.5999999999999996,,,,,,,,0,,,,,0,0,0,2.4
70,140,K8,0,2.4000000000000004,3.4,4,,,,,,,,0,,,,,0,0,0,3
70,150,K8,0,3,3,4,,,,,,,,0,,,,,0,0,0,3.1
80,5,K8,0,2,2.4000000000000004,4,,,,,,,,0,,,,,0,0,0,2.4
80,16,HS,0,1.4,0.4,4,2.8,3.6,,,,,,0,,,,,0,0,0,1.9
